,Unnamed: 0,traveller_id,wt_css_o,wt_css_d,wt_css,cs_duration,walking_duration,public_duration,bicycling_duration,taxi_duration,purpose,bike_ownership
29,1316,t1396,5.0,7.0,12.0,16 mins,1 hour 1 min,15 mins,19 mins,13 mins,leisure,yes
30,65,t65,1.0,6.0,7.0,19 mins,1 hour 10 mins,25 mins,22 mins,18 mins,errand,yes
31,66,t66,1.0,6.0,7.0,19 mins,1 hour 10 mins,25 mins,22 mins,18 mins,errand,yes
32,112,t112,6.0,5.0,11.0,14 mins,1 hour 10 mins,26 mins,20 mins,14 mins,errand,no
33,113,t113,6.0,2.0,8.0,14 mins,1 hour 10 mins,27 mins,20 mins,15 mins,errand,yes
34,115,t115,6.0,4.0,10.0,19 mins,1 hour 10 mins,40 mins,20 mins,16 mins,commuting,yes
35,153,t153,4.0,6.0,10.0,19 mins,1 hour 10 mins,31 mins,21 mins,15 mins,leisure,yes
36,163,t163,8.0,7.0,15.0,15 mins,1 hour 10 mins,26 mins,20 mins,17 mins,leisure,yes
37,203,t203,3.0,8.0,11.0,15 mins,1 hour 10 mins,27 mins,18 mins,14 mins,leisure,yes
38,253,t253,8.0,4.0,12.0,21 mins,1 hour 10 mins,38 mins,20 mins,22 mins,leisure,yes
39,381,t381,8.0,5.0,13.0,15 mins,1 hour 10 mins,24 mins,21 mins,18 mins,business,yes
40,445,t445,5.0,5.0,10.0,16 mins,1 hour 10 mins,38 mins,22 mins,18 mins,commuting,yes
41,674,t674,5.0,5.0,10.0,17 mins,1 hour 10 mins,31 mins,22 mins,17 mins,leisure,no
42,739,t739,7.0,4.0,11.0,19 mins,1 hour 10 mins,29 mins,21 mins,16 mins,leisure,no
43,747,t747,2.0,8.0,10.0,22 mins,1 hour 10 mins,37 mins,19 mins,21 mins,leisure,yes
44,786,t786,4.0,8.0,12.0,22 mins,1 hour 10 mins,37 mins,19 mins,21 mins,leisure,yes
45,904,t904,6.0,7.0,13.0,17 mins,1 hour 10 mins,38 mins,19 mins,19 mins,commuting,yes
46,928,t928,6.0,2.0,8.0,15 mins,1 hour 10 mins,32 mins,20 mins,16 mins,commuting,yes
47,943,t943,6.0,7.0,13.0,17 mins,1 hour 10 mins,38 mins,19 mins,19 mins,errand,yes
48,967,t967,6.0,2.0,8.0,15 mins,1 hour 10 mins,33 mins,20 mins,16 mins,commuting,yes
49,1134,t1214,5.0,8.0,13.0,17 mins,1 hour 10 mins,23 mins,20 mins,17 mins,leisure,yes
50,1186,t1266,2.0,6.0,8.0,17 mins,1 hour 10 mins,33 mins,19 mins,15 mins,commuting,yes
51,1187,t1267,2.0,6.0,8.0,17 mins,1 hour 10 mins,34 mins,19 mins,15 mins,commuting,yes
52,1244,t1324,7.0,8.0,15.0,15 mins,1 hour 10 mins,30 mins,21 mins,15 mins,leisure,yes
53,1281,t1361,5.0,6.0,11.0,13 mins,1 hour 10 mins,32 mins,20 mins,14 mins,leisure,yes
54,1319,t1399,2.0,6.0,8.0,13 mins,1 hour 10 mins,33 mins,20 mins,14 mins,errand,yes
55,1396,t1476,4.0,6.0,10.0,18 mins,1 hour 10 mins,37 mins,20 mins,16 mins,leisure,yes
56,1412,t1492,4.0,7.0,11.0,17 mins,1 hour 10 mins,31 mins,20 mins,17 mins,errand,no
57,26,t26,6.0,6.0,12.0,19 mins,1 hour 11 mins,27 mins,22 mins,18 mins,commuting,no
58,27,t27,6.0,6.0,12.0,19 mins,1 hour 11 mins,27 mins,22 mins,18 mins,leisure,yes
59,252,t252,8.0,2.0,10.0,21 mins,1 hour 11 mins,38 mins,20 mins,21 mins,errand,no
60,295,t295,7.0,6.0,13.0,17 mins,1 hour 11 mins,39 mins,21 mins,18 mins,errand,yes
61,296,t296,7.0,6.0,13.0,17 mins,1 hour 11 mins,40 mins,21 mins,18 mins,commuting,yes
62,316,t316,7.0,8.0,15.0,16 mins,1 hour 11 mins,24 mins,21 mins,15 mins,errand,yes
63,407,t407,6.0,7.0,13.0,16 mins,1 hour 11 mins,28 mins,22 mins,20 mins,leisure,yes
64,556,t556,2.0,6.0,8.0,12 mins,1 hour 11 mins,35 mins,22 mins,16 mins,errand,yes
65,712,t712,7.0,6.0,13.0,17 mins,1 hour 11 mins,25 mins,24 mins,19 mins,business,yes
66,930,t930,6.0,7.0,13.0,18 mins,1 hour 11 mins,27 mins,20 mins,16 mins,commuting,yes
67,1011,t1091,6.0,6.0,12.0,18 mins,1 hour 11 mins,31 mins,23 mins,18 mins,errand,yes
68,1263,t1343,7.0,6.0,13.0,19 mins,1 hour 11 mins,27 mins,21 mins,17 mins,commuting,yes
69,1358,t1438,6.0,4.0,10.0,18 mins,1 hour 11 mins,27 mins,20 mins,15 mins,leisure,yes
70,114,t114,6.0,6.0,12.0,19 mins,1 hour 12 mins,38 mins,22 mins,17 mins,errand,yes
71,228,t228,3.0,7.0,10.0,16 mins,1 hour 12 mins,35 mins,20 mins,15 mins,commuting,yes
72,292,t292,7.0,4.0,11.0,21 mins,1 hour 12 mins,37 mins,20 mins,23 mins,errand,yes
73,356,t356,8.0,3.0,11.0,16 mins,1 hour 12 mins,26 mins,24 mins,14 mins,leisure,yes
74,403,t403,6.0,2.0,8.0,13 mins,1 hour 12 mins,36 mins,21 mins,17 mins,commuting,yes
75,748,t748,2.0,7.0,9.0,22 mins,1 hour 12 mins,37 mins,20 mins,22 mins,leisure,no
76,787,t787,4.0,7.0,11.0,22 mins,1 hour 12 mins,37 mins,20 mins,22 mins,commuting,no
77,927,t927,6.0,5.0,11.0,15 mins,1 hour 12 mins,35 mins,20 mins,19 mins,commuting,yes
78,966,t966,6.0,5.0,11.0,15 mins,1 hour 12 mins,36 mins,20 mins,19 mins,leisure,yes
79,969,t969,6.0,7.0,13.0,18 mins,1 hour 12 mins,28 mins,20 mins,16 mins,commuting,yes
80,1148,t1228,5.0,6.0,11.0,17 mins,1 hour 12 mins,37 mins,21 mins,18 mins,errand,yes
81,1149,t1229,5.0,6.0,11.0,17 mins,1 hour 12 mins,38 mins,21 mins,18 mins,commuting,yes
82,1264,t1344,7.0,6.0,13.0,19 mins,1 hour 12 mins,27 mins,21 mins,18 mins,commuting,yes
83,291,t291,7.0,2.0,9.0,21 mins,1 hour 13 mins,38 mins,20 mins,21 mins,errand,yes
84,578,t578,2.0,6.0,8.0,15 mins,1 hour 13 mins,37 mins,19 mins,12 mins,leisure,yes
85,1169,t1249,2.0,8.0,10.0,18 mins,1 hour 13 mins,38 mins,19 mins,17 mins,leisure,yes
86,1357,t1437,6.0,6.0,12.0,18 mins,1 hour 13 mins,31 mins,20 mins,16 mins,errand,yes
87,31,t31,6.0,2.0,8.0,18 mins,1 hour 14 mins,30 mins,23 mins,15 mins,errand,yes
88,264,t264,8.0,5.0,13.0,18 mins,1 hour 14 mins,39 mins,21 mins,21 mins,leisure,yes
89,265,t265,8.0,2.0,10.0,18 mins,1 hour 14 mins,37 mins,20 mins,18 mins,errand,yes
90,362,t362,8.0,5.0,13.0,14 mins,1 hour 14 mins,18 mins,22 mins,15 mins,commuting,no
91,477,t477,5.0,8.0,13.0,14 mins,1 hour 14 mins,16 mins,19 mins,16 mins,leisure,no
92,929,t929,6.0,6.0,12.0,18 mins,1 hour 14 mins,30 mins,21 mins,14 mins,errand,yes
93,1003,t1083,6.0,2.0,8.0,19 mins,1 hour 14 mins,40 mins,21 mins,18 mins,leisure,yes
94,1026,t1106,6.0,6.0,12.0,16 mins,1 hour 14 mins,46 mins,20 mins,18 mins,leisure,yes
95,1041,t1121,6.0,2.0,8.0,19 mins,1 hour 14 mins,40 mins,21 mins,18 mins,errand,yes
96,1131,t1211,5.0,8.0,13.0,18 mins,1 hour 14 mins,37 mins,20 mins,18 mins,leisure,yes
97,1163,t1243,2.0,6.0,8.0,18 mins,1 hour 14 mins,32 mins,24 mins,17 mins,leisure,no
98,1190,t1270,2.0,6.0,8.0,21 mins,1 hour 14 mins,31 mins,21 mins,18 mins,leisure,yes
99,1191,t1271,2.0,6.0,8.0,21 mins,1 hour 14 mins,31 mins,21 mins,18 mins,leisure,yes
100,1215,t1295,6.0,2.0,8.0,15 mins,1 hour 14 mins,37 mins,19 mins,12 mins,commuting,no
101,1224,t1304,6.0,6.0,12.0,19 mins,1 hour 14 mins,31 mins,21 mins,14 mins,errand,yes
102,1245,t1325,7.0,3.0,10.0,15 mins,1 hour 14 mins,33 mins,22 mins,15 mins,errand,yes
103,30,t30,6.0,5.0,11.0,18 mins,1 hour 15 mins,35 mins,24 mins,15 mins,leisure,no
104,304,t304,7.0,2.0,9.0,18 mins,1 hour 15 mins,37 mins,20 mins,18 mins,commuting,no
105,363,t363,8.0,3.0,11.0,14 mins,1 hour 15 mins,19 mins,22 mins,13 mins,business,yes
106,516,t516,3.0,8.0,11.0,14 mins,1 hour 15 mins,17 mins,20 mins,13 mins,errand,yes
107,557,t557,2.0,5.0,7.0,12 mins,1 hour 15 mins,35 mins,21 mins,14 mins,commuting,no
108,611,t611,6.0,6.0,12.0,17 mins,1 hour 15 mins,36 mins,20 mins,19 mins,leisure,yes
109,612,t612,6.0,6.0,12.0,17 mins,1 hour 15 mins,36 mins,20 mins,19 mins,leisure,yes
110,700,t700,5.0,4.0,9.0,19 mins,1 hour 15 mins,32 mins,22 mins,17 mins,commuting,yes
111,968,t968,6.0,6.0,12.0,18 mins,1 hour 15 mins,31 mins,21 mins,15 mins,errand,no
112,1007,t1087,6.0,2.0,8.0,17 mins,1 hour 15 mins,28 mins,23 mins,18 mins,commuting,yes
113,1045,t1125,6.0,2.0,8.0,17 mins,1 hour 15 mins,28 mins,23 mins,18 mins,leisure,yes
114,1076,t1156,2.0,6.0,8.0,13 mins,1 hour 15 mins,25 mins,20 mins,14 mins,errand,yes
115,1077,t1157,2.0,6.0,8.0,13 mins,1 hour 15 mins,25 mins,20 mins,14 mins,leisure,yes
116,1114,t1194,2.0,6.0,8.0,13 mins,1 hour 15 mins,26 mins,20 mins,14 mins,leisure,yes
117,1115,t1195,2.0,6.0,8.0,13 mins,1 hour 15 mins,26 mins,20 mins,14 mins,leisure,yes
118,1125,t1205,5.0,6.0,11.0,18 mins,1 hour 15 mins,37 mins,25 mins,16 mins,commuting,yes
119,1170,t1250,2.0,7.0,9.0,18 mins,1 hour 15 mins,38 mins,19 mins,18 mins,errand,yes
120,1225,t1305,6.0,6.0,12.0,19 mins,1 hour 15 mins,32 mins,21 mins,14 mins,commuting,yes
121,1306,t1386,5.0,6.0,11.0,16 mins,1 hour 15 mins,23 mins,22 mins,17 mins,business,no
122,1307,t1387,5.0,6.0,11.0,16 mins,1 hour 15 mins,23 mins,22 mins,17 mins,errand,yes
123,1344,t1424,2.0,6.0,8.0,16 mins,1 hour 15 mins,23 mins,22 mins,17 mins,leisure,no
124,1345,t1425,2.0,6.0,8.0,16 mins,1 hour 15 mins,23 mins,22 mins,17 mins,leisure,yes
125,1373,t1453,6.0,7.0,13.0,17 mins,1 hour 15 mins,29 mins,21 mins,17 mins,business,yes
126,1411,t1491,4.0,5.0,9.0,17 mins,1 hour 15 mins,32 mins,22 mins,18 mins,errand,yes
127,70,t70,1.0,2.0,3.0,18 mins,1 hour 16 mins,33 mins,22 mins,18 mins,errand,no
128,155,t155,4.0,7.0,11.0,19 mins,1 hour 16 mins,30 mins,23 mins,17 mins,leisure,yes
129,168,t168,8.0,3.0,11.0,14 mins,1 hour 16 mins,25 mins,23 mins,14 mins,leisure,yes
130,202,t202,3.0,7.0,10.0,15 mins,1 hour 16 mins,27 mins,20 mins,17 mins,commuting,no
131,303,t303,7.0,5.0,12.0,18 mins,1 hour 16 mins,39 mins,21 mins,21 mins,commuting,yes
132,406,t406,6.0,5.0,11.0,16 mins,1 hour 16 mins,29 mins,24 mins,22 mins,leisure,yes
133,442,t442,5.0,2.0,7.0,13 mins,1 hour 16 mins,34 mins,20 mins,15 mins,errand,yes
134,607,t607,6.0,6.0,12.0,15 mins,1 hour 16 mins,34 mins,21 mins,18 mins,leisure,yes
135,608,t608,6.0,6.0,12.0,15 mins,1 hour 16 mins,35 mins,21 mins,18 mins,commuting,yes
136,657,t657,3.0,7.0,10.0,19 mins,1 hour 16 mins,37 mins,20 mins,16 mins,leisure,yes
137,673,t673,5.0,6.0,11.0,17 mins,1 hour 16 mins,26 mins,25 mins,20 mins,leisure,yes
138,738,t738,7.0,6.0,13.0,19 mins,1 hour 16 mins,26 mins,22 mins,17 mins,commuting,yes
139,912,t912,6.0,6.0,12.0,14 mins,1 hour 16 mins,41 mins,21 mins,18 mins,commuting,yes
140,951,t951,6.0,6.0,12.0,14 mins,1 hour 16 mins,42 mins,21 mins,18 mins,errand,yes
141,1000,t1080,6.0,2.0,8.0,13 mins,1 hour 16 mins,23 mins,22 mins,18 mins,commuting,yes
142,1001,t1081,6.0,2.0,8.0,13 mins,1 hour 16 mins,23 mins,23 mins,17 mins,leisure,yes
143,1002,t1082,6.0,5.0,11.0,19 mins,1 hour 16 mins,44 mins,21 mins,20 mins,commuting,yes
144,1006,t1086,6.0,5.0,11.0,17 mins,1 hour 16 mins,27 mins,22 mins,18 mins,leisure,yes
145,1038,t1118,6.0,2.0,8.0,13 mins,1 hour 16 mins,23 mins,22 mins,18 mins,errand,yes
146,1039,t1119,6.0,2.0,8.0,13 mins,1 hour 16 mins,23 mins,23 mins,17 mins,commuting,yes
147,1040,t1120,6.0,5.0,11.0,19 mins,1 hour 16 mins,44 mins,21 mins,20 mins,commuting,no
148,1044,t1124,6.0,5.0,11.0,17 mins,1 hour 16 mins,27 mins,22 mins,18 mins,commuting,yes
149,1132,t1212,5.0,7.0,12.0,18 mins,1 hour 16 mins,37 mins,21 mins,19 mins,commuting,yes
150,1152,t1232,5.0,6.0,11.0,21 mins,1 hour 16 mins,33 mins,23 mins,20 mins,leisure,yes
151,1153,t1233,5.0,6.0,11.0,21 mins,1 hour 16 mins,33 mins,23 mins,20 mins,leisure,yes
152,1164,t1244,2.0,1.0,3.0,18 mins,1 hour 16 mins,33 mins,24 mins,17 mins,commuting,yes
153,1256,t1336,7.0,3.0,10.0,20 mins,1 hour 16 mins,37 mins,20 mins,18 mins,leisure,yes
154,1311,t1391,5.0,2.0,7.0,17 mins,1 hour 16 mins,23 mins,23 mins,16 mins,leisure,no
155,1436,t1516,7.0,4.0,11.0,18 mins,1 hour 16 mins,26 mins,23 mins,17 mins,errand,yes
156,69,t69,1.0,5.0,6.0,18 mins,1 hour 17 mins,39 mins,23 mins,18 mins,leisure,yes
157,317,t317,7.0,3.0,10.0,16 mins,1 hour 17 mins,25 mins,24 mins,16 mins,commuting,yes
158,511,t511,3.0,8.0,11.0,14 mins,1 hour 17 mins,27 mins,21 mins,13 mins,leisure,yes
159,645,t645,3.0,7.0,10.0,19 mins,1 hour 17 mins,38 mins,21 mins,18 mins,commuting,yes
160,874,t874,7.0,3.0,10.0,18 mins,1 hour 17 mins,38 mins,21 mins,18 mins,leisure,yes
161,1126,t1206,5.0,1.0,6.0,18 mins,1 hour 17 mins,37 mins,25 mins,17 mins,commuting,no
162,1196,t1276,2.0,5.0,7.0,17 mins,1 hour 17 mins,35 mins,24 mins,16 mins,leisure,yes
163,1310,t1390,5.0,5.0,10.0,17 mins,1 hour 17 mins,26 mins,23 mins,18 mins,leisure,yes
164,1459,t1539,7.0,10.0,17.0,18 mins,1 hour 17 mins,30 mins,23 mins,12 mins,leisure,no
165,116,t116,6.0,7.0,13.0,19 mins,1 hour 18 mins,32 mins,24 mins,18 mins,commuting,yes
166,173,t173,8.0,7.0,15.0,17 mins,1 hour 18 mins,37 mins,26 mins,17 mins,errand,yes
167,583,t583,2.0,4.0,6.0,19 mins,1 hour 18 mins,41 mins,24 mins,16 mins,leisure,yes
168,1083,t1163,2.0,2.0,4.0,15 mins,1 hour 18 mins,44 mins,22 mins,13 mins,leisure,yes
169,1158,t1238,5.0,5.0,10.0,17 mins,1 hour 18 mins,27 mins,24 mins,19 mins,commuting,yes
170,1435,t1515,7.0,6.0,13.0,18 mins,1 hour 18 mins,29 mins,24 mins,18 mins,commuting,yes
171,1458,t1538,7.0,11.0,18.0,18 mins,1 hour 18 mins,31 mins,22 mins,12 mins,business,yes
172,167,t167,8.0,5.0,13.0,14 mins,1 hour 19 mins,24 mins,26 mins,17 mins,leisure,yes
173,656,t656,3.0,6.0,9.0,19 mins,1 hour 19 mins,34 mins,21 mins,15 mins,errand,no
174,835,t835,5.0,3.0,8.0,18 mins,1 hour 19 mins,38 mins,22 mins,17 mins,errand,yes
175,889,t889,7.0,2.0,9.0,20 mins,1 hour 19 mins,29 mins,23 mins,19 mins,business,yes
176,1121,t1201,2.0,2.0,4.0,15 mins,1 hour 19 mins,44 mins,22 mins,13 mins,leisure,yes
177,1185,t1265,2.0,7.0,9.0,22 mins,1 hour 19 mins,30 mins,22 mins,18 mins,errand,yes
178,1217,t1297,6.0,3.0,9.0,20 mins,1 hour 19 mins,34 mins,19 mins,16 mins,leisure,yes
179,1326,t1406,2.0,8.0,10.0,17 mins,1 hour 19 mins,17 mins,23 mins,16 mins,leisure,no
180,1346,t1426,2.0,2.0,4.0,14 mins,1 hour 19 mins,38 mins,24 mins,14 mins,leisure,yes
181,1349,t1429,2.0,2.0,4.0,17 mins,1 hour 19 mins,33 mins,23 mins,16 mins,commuting,yes
182,1408,t1488,4.0,2.0,6.0,18 mins,1 hour 19 mins,41 mins,23 mins,17 mins,commuting,yes
183,1451,t1531,7.0,7.0,14.0,17 mins,1 hour 19 mins,26 mins,23 mins,18 mins,commuting,yes
184,38,t38,6.0,7.0,13.0,16 mins,1 hour 2 mins,25 mins,19 mins,16 mins,errand,yes
185,88,t88,6.0,5.0,11.0,14 mins,1 hour 2 mins,37 mins,18 mins,14 mins,errand,yes
186,188,t188,8.0,6.0,14.0,16 mins,1 hour 2 mins,26 mins,15 mins,10 mins,leisure,yes
187,221,t221,3.0,6.0,9.0,15 mins,1 hour 2 mins,38 mins,18 mins,14 mins,commuting,yes
188,222,t222,3.0,6.0,9.0,15 mins,1 hour 2 mins,38 mins,18 mins,14 mins,errand,yes
189,315,t315,7.0,4.0,11.0,13 mins,1 hour 2 mins,30 mins,17 mins,13 mins,leisure,yes
190,431,t431,5.0,6.0,11.0,13 mins,1 hour 2 mins,34 mins,17 mins,14 mins,leisure,no
191,494,t494,5.0,6.0,11.0,10 mins,1 hour 2 mins,21 mins,15 mins,14 mins,commuting,no
192,495,t495,5.0,6.0,11.0,10 mins,1 hour 2 mins,21 mins,15 mins,14 mins,commuting,yes
193,724,t724,7.0,6.0,13.0,14 mins,1 hour 2 mins,28 mins,20 mins,15 mins,errand,yes
194,1023,t1103,6.0,5.0,11.0,9 mins,1 hour 2 mins,25 mins,18 mins,15 mins,errand,yes
195,1150,t1230,5.0,11.0,16.0,10 mins,1 hour 2 mins,25 mins,14 mins,7 mins,errand,yes
196,1468,t1548,7.0,5.0,12.0,15 mins,1 hour 2 mins,16 mins,18 mins,13 mins,commuting,yes
197,122,t122,4.0,8.0,12.0,24 mins,1 hour 20 mins,46 mins,22 mins,21 mins,leisure,yes
198,386,t386,8.0,2.0,10.0,19 mins,1 hour 20 mins,18 mins,24 mins,17 mins,commuting,yes
199,472,t472,5.0,8.0,13.0,14 mins,1 hour 20 mins,28 mins,22 mins,17 mins,leisure,yes
200,476,t476,5.0,7.0,12.0,14 mins,1 hour 20 mins,22 mins,20 mins,17 mins,leisure,yes
201,579,t579,2.0,7.0,9.0,15 mins,1 hour 20 mins,50 mins,22 mins,16 mins,commuting,yes
202,582,t582,2.0,6.0,8.0,19 mins,1 hour 20 mins,36 mins,24 mins,17 mins,leisure,yes
203,644,t644,3.0,5.0,8.0,19 mins,1 hour 20 mins,38 mins,22 mins,20 mins,errand,yes
204,706,t706,7.0,8.0,15.0,17 mins,1 hour 20 mins,40 mins,27 mins,15 mins,leisure,yes
205,740,t740,7.0,7.0,14.0,19 mins,1 hour 20 mins,23 mins,24 mins,18 mins,errand,yes
206,1082,t1162,2.0,5.0,7.0,15 mins,1 hour 20 mins,43 mins,22 mins,14 mins,leisure,yes
207,1120,t1200,2.0,5.0,7.0,15 mins,1 hour 20 mins,44 mins,22 mins,14 mins,commuting,yes
208,1197,t1277,2.0,2.0,4.0,17 mins,1 hour 20 mins,34 mins,24 mins,17 mins,commuting,yes
209,1347,t1427,2.0,2.0,4.0,14 mins,1 hour 20 mins,38 mins,23 mins,14 mins,commuting,yes
210,1348,t1428,2.0,5.0,7.0,17 mins,1 hour 20 mins,27 mins,24 mins,19 mins,leisure,yes
211,1372,t1452,6.0,5.0,11.0,17 mins,1 hour 20 mins,30 mins,23 mins,19 mins,errand,yes
212,187,t187,8.0,2.0,10.0,20 mins,1 hour 21 mins,38 mins,24 mins,18 mins,business,no
213,237,t237,8.0,4.0,12.0,25 mins,1 hour 21 mins,51 mins,24 mins,22 mins,commuting,yes
214,323,t323,7.0,5.0,12.0,14 mins,1 hour 21 mins,22 mins,23 mins,18 mins,commuting,yes
215,324,t324,7.0,3.0,10.0,14 mins,1 hour 21 mins,22 mins,24 mins,16 mins,errand,yes
216,385,t385,8.0,5.0,13.0,19 mins,1 hour 21 mins,17 mins,24 mins,17 mins,errand,no
217,515,t515,3.0,7.0,10.0,14 mins,1 hour 21 mins,22 mins,21 mins,14 mins,leisure,yes
218,642,t642,3.0,2.0,5.0,19 mins,1 hour 21 mins,39 mins,23 mins,18 mins,leisure,yes
219,643,t643,3.0,4.0,7.0,19 mins,1 hour 21 mins,39 mins,23 mins,20 mins,errand,yes
220,699,t699,5.0,6.0,11.0,19 mins,1 hour 21 mins,27 mins,23 mins,18 mins,leisure,yes
221,757,t757,2.0,3.0,5.0,19 mins,1 hour 21 mins,40 mins,23 mins,18 mins,commuting,no
222,796,t796,4.0,3.0,7.0,19 mins,1 hour 21 mins,39 mins,22 mins,18 mins,errand,yes
223,888,t888,7.0,5.0,12.0,20 mins,1 hour 21 mins,34 mins,23 mins,22 mins,errand,yes
224,1159,t1239,5.0,2.0,7.0,17 mins,1 hour 21 mins,28 mins,25 mins,20 mins,leisure,yes
225,1254,t1334,7.0,2.0,9.0,15 mins,1 hour 21 mins,39 mins,23 mins,16 mins,leisure,yes
226,1288,t1368,5.0,8.0,13.0,17 mins,1 hour 21 mins,16 mins,23 mins,17 mins,commuting,yes
227,1308,t1388,5.0,2.0,7.0,14 mins,1 hour 21 mins,34 mins,24 mins,14 mins,errand,no
228,1309,t1389,5.0,2.0,7.0,14 mins,1 hour 21 mins,35 mins,24 mins,14 mins,errand,yes
229,1369,t1449,6.0,2.0,8.0,18 mins,1 hour 21 mins,36 mins,25 mins,16 mins,errand,yes
230,123,t123,4.0,7.0,11.0,24 mins,1 hour 22 mins,46 mins,23 mins,22 mins,errand,yes
231,171,t171,8.0,3.0,11.0,18 mins,1 hour 22 mins,47 mins,24 mins,17 mins,commuting,yes
232,207,t207,3.0,3.0,6.0,14 mins,1 hour 22 mins,31 mins,23 mins,14 mins,leisure,yes
233,850,t850,5.0,2.0,7.0,20 mins,1 hour 22 mins,29 mins,24 mins,19 mins,errand,yes
234,1147,t1227,5.0,7.0,12.0,22 mins,1 hour 22 mins,34 mins,23 mins,21 mins,leisure,yes
235,1184,t1264,2.0,5.0,7.0,22 mins,1 hour 22 mins,30 mins,23 mins,20 mins,leisure,yes
236,1255,t1335,7.0,6.0,13.0,20 mins,1 hour 22 mins,49 mins,22 mins,17 mins,errand,yes
237,83,t83,6.0,8.0,14.0,24 mins,1 hour 23 mins,45 mins,23 mins,23 mins,commuting,yes
238,172,t172,8.0,5.0,13.0,17 mins,1 hour 23 mins,39 mins,28 mins,19 mins,errand,yes
239,186,t186,8.0,5.0,13.0,20 mins,1 hour 23 mins,43 mins,27 mins,20 mins,errand,yes
240,276,t276,7.0,4.0,11.0,25 mins,1 hour 23 mins,51 mins,24 mins,23 mins,leisure,yes
241,298,t298,7.0,10.0,17.0,17 mins,1 hour 23 mins,26 mins,24 mins,21 mins,leisure,yes
242,474,t474,5.0,8.0,13.0,24 mins,1 hour 23 mins,36 mins,26 mins,26 mins,leisure,yes
243,512,t512,3.0,3.0,6.0,14 mins,1 hour 23 mins,28 mins,24 mins,14 mins,errand,yes
244,572,t572,2.0,6.0,8.0,17 mins,1 hour 23 mins,39 mins,24 mins,19 mins,errand,yes
245,573,t573,2.0,6.0,8.0,17 mins,1 hour 23 mins,39 mins,24 mins,19 mins,errand,yes
